Date,year,month,day,ozone,AOD,RD
150111,2015,1,11,274.0,0.32,9.35
150112,2015,1,12,255.023,0.475,9.81
151123,2015,11,23,254.882,0.196,9.49
160109,2016,1,9,237.833,0.165,9.47
160110,2016,1,10,255.023,0.165,9.43
160111,2016,1,11,259.233,0.258,9.9
160112,2016,1,12,263.678,0.536,10.0
160115,2016,1,15,255.023,0.134,10.97
170915,2017,9,15,270.822,0.258,10.77
171006,2017,10,6,267.5,0.165,10.25
180827,2018,8,27,284.067,0.351,10.31
180828,2018,8,28,287.067,0.382,9.16
180831,2018,8,31,301.744,0.351,10.28
180901,2018,9,1,302.133,0.382,9.38
180925,2018,9,25,269.7,0.289,10.04
181009,2018,10,9,262.789,0.289,10.4
